Rooms,Type,Price,Method,SellerG,Distance,Postcode,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Longtitude,Regionname,Propertycount
3,r,815000,1,196,5.9,3055,1,2,157,123,1999,23,144.9454,Eastern,7082
4,h,1150000,4,155,5.9,3055,1,2,519,169,1910,23,144.9474,Eastern,7082
2,p,497000,1,94,5.9,3055,1,1,0,84,1977,23,144.9412,Eastern,7082
2,h,440000,0,106,5.9,3055,1,1,0,62,1960,23,144.9354,Eastern,7082
2,h,816000,1,155,5.9,3055,2,1,343,115,1930,23,144.9458,Eastern,7082
4,h,970000,0,155,5.9,3055,3,2,499,150,1925,23,144.944,Eastern,7082
3,p,851000,1,106,11.8,3105,1,2,385,140,2000,15,145.0849,Eastern,4480
4,h,1300000,1,106,11.8,3105,1,2,717,180,1960,15,145.0862,Eastern,4480
4,h,1235000,1,106,11.8,3105,2,2,556,214,1957,15,145.0957,Eastern,4480
4,h,1303000,3,16,11.8,3105,2,2,670,197,1980,15,145.0869,Eastern,4480
3,h,880000,0,16,11.8,3105,2,2,514,190,1960,15,145.0959,Eastern,4480
3,r,975000,0,73,11.8,3105,2,2,632,226,2013,15,145.102,Eastern,4480
3,h,990000,0,16,11.8,3105,2,1,585,180,1950,15,145.099,Eastern,4480
4,h,1225000,1,196,11.8,3105,2,2,723,159,1970,15,145.1033,Eastern,4480
5,h,1490000,1,73,11.8,3105,3,2,796,304,1975,15,145.0871,Eastern,4480
3,h,905000,1,16,11.8,3105,3,2,401,165,1965,15,145.0901,Eastern,4480
4,h,1085000,0,16,11.8,3105,2,1,1124,225,1960,15,145.0958,Eastern,4480
3,p,787000,1,16,11.8,3105,1,2,306,100,1985,15,145.0903,Eastern,4480
3,h,1075000,1,106,11.8,3105,1,1,604,96,1960,15,145.0928,Eastern,4480
4,h,1302000,3,16,11.8,3105,2,2,475,245,1996,15,145.0933,Eastern,4480
3,h,1050000,0,73,11.8,3105,2,1,728,719,1965,15,145.1031,Eastern,4480
4,h,1000000,4,260,11.8,3105,2,3,672,212,1970,15,145.0895,Eastern,4480
4,h,1300000,1,140,11.8,3105,2,2,744,300,1985,15,145.086,Eastern,4480
3,h,990000,0,16,11.8,3105,1,2,602,175,1975,15,145.0988,Eastern,4480
4,h,1100000,0,16,11.8,3105,2,2,693,212,1975,15,145.0863,Eastern,4480
2,h,903000,1,16,11.8,3105,1,1,591,140,1965,15,145.0978,Eastern,4480
5,h,1590000,1,106,11.7,3125,3,2,661,253,1940,28,145.098,Eastern,5678
4,h,1890000,1,196,11.7,3125,2,2,1145,111,1960,28,145.127,Eastern,5678
3,p,1022500,1,196,11.7,3125,2,2,265,130,2000,28,145.1056,Eastern,5678
3,h,1755000,1,32,11.7,3125,1,1,931,145,1970,28,145.1195,Eastern,5678
3,h,1300000,1,135,11.7,3125,1,1,667,136,1950,28,145.1093,Eastern,5678
3,h,1160000,1,85,11.7,3125,1,1,786,111,1950,28,145.1198,Eastern,5678
4,h,2000000,1,73,11.7,3125,3,2,928,229,1996,28,145.102,Eastern,5678
3,h,790000,1,73,11.7,3125,1,2,318,103,1960,28,145.1114,Eastern,5678
4,h,1682000,1,106,11.7,3125,2,1,921,174,1950,28,145.1291,Eastern,5678
3,p,625000,0,106,11.7,3125,2,1,0,115,2002,20,145.0962,Eastern,5678
2,p,650000,0,32,11.7,3125,1,1,194,120,1975,28,145.1119,Eastern,5678
5,h,1060000,1,196,11.7,3125,3,2,326,210,2013,28,145.1129,Eastern,5678
4,h,1255000,1,32,11.7,3125,2,2,438,210,2005,20,145.1101,Eastern,5678
2,h,633000,1,161,11.7,3125,1,1,276,92,1965,28,145.0971,Eastern,5678
2,h,1350000,1,73,11.7,3125,1,2,593,82,1950,28,145.1054,Eastern,5678
3,h,570000,1,196,11.7,3125,1,1,384,112,1950,28,145.1138,Eastern,5678
3,r,745000,1,161,11.7,3125,1,2,228,126,1998,28,145.1187,Eastern,5678
5,h,2150000,1,193,11.7,3125,4,2,643,380,2014,28,145.0974,Eastern,5678
3,p,746000,1,32,11.7,3125,1,2,308,92,1995,28,145.1065,Eastern,5678
3,h,1540000,1,106,11.7,3125,2,2,653,120,1950,28,145.1011,Eastern,5678
4,r,1270000,1,106,11.7,3125,2,2,399,212,2005,20,145.1084,Eastern,5678
4,r,900000,4,161,11.7,3125,3,2,381,176,2013,28,145.1041,Eastern,5678
4,h,1250000,2,16,11.7,3125,2,2,499,220,2005,20,145.1101,Eastern,5678
4,h,1410000,1,32,11.7,3125,2,3,739,182,1970,28,145.1292,Eastern,5678
4,p,800000,0,126,11.7,3125,2,1,0,150,1950,28,145.109,Eastern,5678
3,r,702000,1,16,11.7,3125,2,1,170,106,2001,20,145.1089,Eastern,5678
4,h,2650000,1,106,7.8,3124,2,1,652,189,1890,2,145.0686,Eastern,8920
2,p,729000,1,161,7.8,3124,1,1,137,87,1970,2,145.088,Eastern,8920
5,h,2600000,4,135,7.8,3124,4,1,708,348,1940,2,145.067,Eastern,8920
3,h,1650000,1,135,7.8,3124,2,2,305,189,1998,2,145.0802,Eastern,8920
2,p,615000,1,161,7.8,3124,1,1,1107,68,1960,2,145.057,Eastern,8920
3,h,1987000,1,106,7.8,3124,2,2,706,164,1960,2,145.0611,Eastern,8920
2,p,683000,1,192,7.8,3124,1,1,146,86,1970,2,145.0697,Eastern,8920
3,h,1690000,0,260,7.8,3124,2,1,777,154,1950,2,145.0962,Eastern,8920
2,p,430000,4,106,7.8,3124,1,1,0,56,2011,2,145.0877,Eastern,8920
4,h,2600000,4,106,7.8,3124,2,2,600,232,1897,2,145.0638,Eastern,8920
3,h,2325000,0,135,7.8,3124,2,2,1133,131,1930,2,145.0943,Eastern,8920
2,p,435000,3,117,7.8,3124,1,1,896,77,1960,2,145.0958,Eastern,8920
3,h,2000000,1,106,7.8,3124,1,2,821,105,1925,2,145.0644,Eastern,8920
3,h,1302000,1,73,7.8,3124,1,1,427,115,1938,2,145.0934,Eastern,8920
3,h,1622000,3,161,7.8,3124,1,1,544,160,1930,2,145.0581,Eastern,8920
2,p,502000,0,164,7.8,3124,1,1,0,77,1965,2,145.0592,Eastern,8920
2,p,435000,3,117,7.8,3124,1,1,896,77,1960,2,145.0958,Eastern,8920
3,p,591000,0,106,7.8,3124,1,1,0,89,1960,2,145.0592,Eastern,8920
5,h,2608000,1,135,7.8,3124,2,4,730,3112,1920,2,145.0639,Eastern,8920
3,h,1780000,1,73,7.8,3124,1,1,769,133,1930,2,145.0949,Eastern,8920
3,h,2250000,1,164,7.8,3124,2,2,656,225,2009,2,145.0824,Eastern,8920
2,h,895000,0,164,7.8,3124,1,1,424,95,1930,2,145.0743,Eastern,8920
3,h,1800000,3,135,7.8,3124,2,0,584,213,1920,2,145.0758,Eastern,8920
2,p,900000,1,106,7.8,3124,1,1,150,88,1970,2,145.066,Eastern,8920
5,h,2700000,4,106,7.8,3124,3,2,802,317,1994,2,145.0578,Eastern,8920
2,p,530000,0,210,7.8,3124,1,1,0,76,1960,2,145.086,Eastern,8920
4,h,2228000,1,106,7.8,3124,2,2,813,163,1960,2,145.0903,Eastern,8920
3,h,1602500,1,126,7.8,3124,1,1,405,102,1930,2,145.071,Eastern,8920
3,h,2177000,1,111,7.8,3124,1,2,635,130,1920,2,145.0707,Eastern,8920
3,h,3400000,1,106,7.8,3124,2,4,877,146,1960,2,145.0623,Eastern,8920
3,h,2105000,1,73,7.8,3124,1,2,692,164,1940,2,145.0849,Eastern,8920
3,r,1625000,1,106,7.8,3124,2,2,283,160,1990,2,145.064,Eastern,8920
3,h,3300000,1,111,7.8,3124,3,2,417,220,2016,2,145.0621,Eastern,8920
2,p,667000,1,255,7.8,3124,1,1,83,81,1960,2,145.0633,Eastern,8920
4,h,2015000,1,106,7.8,3124,1,4,772,145,1920,2,145.0806,Eastern,8920
2,p,700000,1,135,7.8,3124,1,1,631,75,1970,2,145.081,Eastern,8920
4,h,3225000,1,135,7.8,3124,3,1,632,270,1890,2,145.064,Eastern,8920
5,h,3320000,3,244,7.8,3124,4,2,741,407,2009,2,145.064,Eastern,8920
5,h,2125000,0,135,7.8,3124,3,2,603,282,1980,2,145.069,Eastern,8920
4,h,2030000,1,106,7.8,3124,2,2,686,210,1960,2,145.0611,Eastern,8920
4,h,2750000,0,192,7.8,3124,3,1,0,257,1912,2,145.0649,Eastern,8920
4,h,2000000,4,161,7.8,3124,3,4,697,271,1980,2,145.056,Eastern,8920
5,h,2250000,0,135,7.8,3124,5,1,639,453,2010,2,145.0668,Eastern,8920
5,h,2740000,1,73,7.8,3124,2,2,643,363,2005,2,145.0719,Eastern,8920
4,h,2950000,1,135,9,3126,2,2,687,215,1935,2,145.0706,Eastern,3265
3,h,1587500,1,135,9,3126,1,1,459,130,1920,2,145.072,Eastern,3265
2,p,830000,1,42,9,3126,1,1,110,83,1960,2,145.0824,Eastern,3265
4,h,2375000,1,106,9,3126,2,1,653,229,1910,2,145.0852,Eastern,3265
5,h,2900000,0,106,9,3126,2,2,795,297,1910,2,145.0668,Eastern,3265
3,h,2200000,4,161,9,3126,3,2,468,148,1890,2,145.0741,Eastern,3265
4,h,2620000,1,135,9,3126,1,1,717,235,1890,2,145.0849,Eastern,3265
2,h,1305000,1,106,9,3126,1,1,342,104,1945,2,145.081,Eastern,3265
3,h,928000,1,73,9,3126,2,1,145,140,1998,2,145.0769,Eastern,3265
5,h,2930000,1,106,9,3126,3,4,645,222,2005,2,145.0738,Eastern,3265
4,h,2950000,0,106,9,3126,2,3,812,173,1927,2,145.0842,Eastern,3265
2,p,722000,1,106,9,3126,1,1,0,92,1965,2,145.0828,Eastern,3265
5,h,2350000,4,106,9,3126,2,4,838,282,1910,2,145.0721,Eastern,3265
3,h,1640000,0,135,9,3126,3,2,352,207,1997,2,145.0737,Eastern,3265
3,h,1680000,1,73,9,3126,2,1,325,197,1910,2,145.0729,Eastern,3265
5,h,3550000,4,192,9,3126,4,4,684,427,2013,2,145.0853,Eastern,3265
4,h,3400000,1,106,9,3126,1,4,845,411,2008,2,145.0702,Eastern,3265
3,h,1850000,0,135,9,3126,2,2,361,216,1995,2,145.0785,Eastern,3265
4,h,3145000,1,193,9,3126,2,2,796,276,2012,2,145.072,Eastern,3265
4,h,1425000,1,155,3.2,3054,3,0,122,130,1890,31,144.9696,Eastern,3106
3,h,2950000,3,43,3.2,3054,1,2,499,164,1910,31,144.9715,Eastern,3106
4,h,2175000,1,255,3.2,3054,1,0,418,163,1920,31,144.9736,Eastern,3106
2,h,800000,0,155,3.2,3054,1,1,73,104,2009,31,144.9719,Eastern,3106
4,h,2718000,1,196,3.2,3054,2,0,538,142,2015,31,144.9714,Eastern,3106
2,h,2400000,1,114,3.2,3054,2,0,413,172,1900,31,144.9759,Eastern,3106
4,h,2520000,1,155,3.2,3054,2,2,504,168,1890,31,144.9721,Eastern,3106
3,h,2050000,1,155,3.2,3054,2,0,84,148,1970,31,144.9736,Eastern,3106
4,h,1950000,1,155,3.2,3054,2,2,207,162,1900,31,144.9748,Eastern,3106
1,p,437000,1,155,3.2,3054,1,1,0,56,1970,31,144.9707,Eastern,3106
2,p,520000,4,155,3.2,3054,1,1,0,86,1940,31,144.9773,Eastern,3106
2,p,570000,1,260,3.2,3054,1,1,0,76,1975,31,144.97,Eastern,3106
3,p,820000,1,196,11.4,3163,1,2,0,96,1989,8,145.0623,Eastern,7822
2,r,795000,1,82,11.4,3163,2,1,133,104,2009,8,145.0539,Eastern,7822
2,p,600000,3,255,11.4,3163,1,1,73,61,1970,8,145.0593,Eastern,7822
3,h,1295000,1,260,11.4,3163,1,2,425,166,1960,8,145.0502,Eastern,7822
2,p,510000,1,135,11.4,3163,1,1,0,69,1970,8,145.0644,Eastern,7822
1,p,346000,1,255,11.4,3163,1,1,60,48,1970,8,145.0618,Eastern,7822
3,r,860000,3,82,11.4,3163,2,1,1113,113,1990,8,145.0642,Eastern,7822
2,p,772000,1,260,11.4,3163,1,2,0,100,1973,8,145.066,Eastern,7822
4,h,1506000,1,106,11.4,3163,2,2,561,204,1925,8,145.0633,Eastern,7822
3,r,675000,0,82,11.4,3163,2,1,0,107,1990,8,145.0642,Eastern,7822
2,p,525000,3,260,11.4,3163,1,2,0,67,2009,8,145.0589,Eastern,7822
1,p,290000,1,196,11.4,3163,1,1,0,50,1960,8,145.0632,Eastern,7822
2,p,360000,4,82,11.4,3163,1,1,0,70,1970,8,145.0555,Eastern,7822
2,h,967500,1,260,11.4,3163,1,2,299,115,1930,8,145.053,Eastern,7822
1,p,330000,1,260,11.4,3163,1,1,0,33,1970,8,145.0533,Eastern,7822
3,h,1600000,1,255,11.4,3163,2,2,751,40,1923,8,145.0648,Eastern,7822
3,p,1008000,1,255,11.4,3163,2,1,300,130,1990,8,145.0539,Eastern,7822
3,p,1170000,1,255,11.4,3163,1,2,0,170,1925,8,145.0493,Eastern,7822
4,h,1830000,1,82,11.4,3163,2,2,687,237,1983,8,145.0479,Eastern,7822
1,p,250000,0,260,11.4,3163,1,1,0,34,1960,8,145.0625,Eastern,7822
2,r,930000,1,260,11.4,3163,2,1,166,170,2009,8,145.0488,Eastern,7822
2,p,465000,1,196,11.4,3163,1,1,0,56,1970,8,145.0558,Eastern,7822
4,h,1550000,4,260,11.4,3163,2,2,757,133,1930,8,145.0541,Eastern,7822
2,r,707000,2,196,11.4,3163,1,1,144,96,2000,8,145.0482,Eastern,7822
2,p,804000,1,260,11.4,3163,2,1,0,86,1993,8,145.0548,Eastern,7822
4,h,1501000,1,82,11.4,3163,2,1,598,201,1970,8,145.0588,Eastern,7822
3,r,970000,0,135,11.4,3163,2,2,325,223,2005,8,145.0546,Eastern,7822
2,h,817500,1,106,11.4,3163,1,1,211,102,2002,8,145.0599,Eastern,7822
4,h,1450000,0,196,11.4,3163,2,2,557,200,1938,8,145.0515,Eastern,7822
2,r,855000,1,82,11.4,3163,1,1,158,106,1994,8,145.052,Eastern,7822
2,h,675000,1,82,11.4,3163,1,1,0,90,1968,8,145.0625,Eastern,7822
2,p,588000,3,255,11.4,3163,1,1,133,71,2011,8,145.0559,Eastern,7822
2,p,455000,1,255,11.4,3163,1,1,0,73,1970,8,145.0524,Eastern,7822
3,p,920000,3,255,11.4,3163,2,1,283,250,2005,8,145.0622,Eastern,7822
2,p,656000,1,185,11.4,3163,1,1,103,82,1970,8,145.0559,Eastern,7822
2,h,930000,1,260,11.4,3163,1,1,264,110,1930,8,145.0561,Eastern,7822
2,p,415000,1,260,11.4,3163,1,1,0,64,1970,8,145.048,Eastern,7822
2,p,650000,1,260,11.4,3163,1,1,174,80,1975,8,145.062,Eastern,7822
3,h,1360000,1,255,11.4,3163,2,2,282,182,2010,8,145.0567,Eastern,7822
1,p,350000,1,260,11.4,3163,1,1,0,53,1980,8,145.0508,Eastern,7822
3,h,1430000,1,196,11.4,3163,2,2,603,166,1945,8,145.0568,Eastern,7822
3,h,1490000,1,82,11.4,3163,2,1,371,167,1915,8,145.052,Eastern,7822
3,h,1125000,0,196,11.4,3163,1,1,604,120,1925,8,145.0528,Eastern,7822
2,p,405000,0,137,11.4,3163,1,1,967,72,1970,8,145.0531,Eastern,7822
4,h,1655000,0,135,11.4,3163,2,2,595,221,1915,8,145.0543,Eastern,7822
3,r,808000,1,82,11.4,3163,1,1,111,116,1998,8,145.0495,Eastern,7822
2,p,370000,4,227,11.4,3163,1,1,0,68,1950,8,145.0639,Eastern,7822
4,h,1880000,1,183,11.4,3163,2,3,932,270,1970,8,145.0478,Eastern,7822
2,p,585000,1,14,11.4,3163,1,1,108,67,1970,8,145.0596,Eastern,7822
2,p,450000,1,6,11.4,3163,1,1,0,72,1970,8,145.0575,Eastern,7822
3,r,860000,1,32,11.4,3163,1,2,277,135,1978,8,145.0624,Eastern,7822
2,p,605000,1,255,11.4,3163,1,1,0,70,1973,8,145.0613,Eastern,7822
4,h,1518000,1,260,11.4,3163,3,2,454,275,2000,8,145.0628,Eastern,7822
2,p,632500,1,32,11.4,3163,1,1,99,98,1965,8,145.0588,Eastern,7822
2,p,435000,1,82,11.4,3163,1,1,0,60,1980,8,145.0567,Eastern,7822
2,p,468250,1,196,11.4,3163,1,1,912,75,2008,8,145.056,Eastern,7822
3,h,1716000,1,255,11.4,3163,2,1,817,130,1925,8,145.047,Eastern,7822
1,p,365000,1,260,11.4,3163,1,1,0,48,1960,8,145.048,Eastern,7822
2,p,722500,1,82,8.9,3162,1,1,0,100,1960,8,145.0302,Eastern,2379
2,p,550000,4,82,8.9,3162,1,1,806,78,1960,8,145.024,Eastern,2379
4,h,131000,0,207,8.9,3162,1,2,499,155,1920,8,145.0242,Eastern,2379
3,h,1750000,1,135,8.1,3161,2,2,692,313,1955,8,145.019,Eastern,6923
2,p,580000,3,2,8.1,3161,1,1,934,68,2012,8,145.0116,Eastern,6923
3,h,2005000,0,106,8.1,3161,2,3,361,237,2014,8,145.0296,Eastern,6923
2,p,420000,4,82,8.1,3161,1,1,0,56,2012,8,145.0136,Eastern,6923
1,p,290000,4,260,8.1,3161,1,1,952,43,1970,8,145.0371,Eastern,6923
3,h,1400000,3,82,8.1,3161,1,0,270,139,1910,8,145.0269,Eastern,6923
2,p,450000,1,82,8.1,3161,1,1,1092,63,2014,8,145.0232,Eastern,6923
2,p,536000,1,82,8.1,3161,1,1,771,82,1960,8,145.0239,Eastern,6923
2,p,550000,4,82,8.1,3161,1,1,0,67,2011,8,145.0126,Eastern,6923
4,h,2170000,1,82,8.1,3161,2,1,810,215,1915,8,145.0325,Eastern,6923
3,h,1577500,1,260,9.3,3162,2,2,357,144,1935,8,145.0307,Eastern,5051
3,h,1460000,1,260,9.3,3162,1,2,451,121,1960,8,145.019,Eastern,5051
1,p,275500,0,82,9.3,3162,1,1,0,44,1960,8,145.0132,Eastern,5051
2,h,1065000,1,260,9.3,3162,1,1,273,114,1930,8,145.022,Eastern,5051
4,r,1030000,4,82,9.3,3162,2,2,216,165,1995,8,145.0318,Eastern,5051
2,h,1225000,1,23,9.3,3162,1,2,284,99,1940,8,145.0215,Eastern,5051
3,h,1450000,1,192,9.3,3162,2,1,478,120,1925,8,145.0161,Eastern,5051
4,h,1774500,1,260,9.3,3162,2,2,575,256,2008,8,145.0254,Eastern,5051
2,p,525500,1,196,9.3,3162,1,1,831,80,1970,8,145.0294,Eastern,5051
2,h,825000,1,82,9.3,3162,1,1,367,85,1930,8,145.0241,Eastern,5051
2,h,1262000,1,260,9.3,3162,2,2,464,272,2016,8,145.0224,Eastern,5051
2,h,1340000,1,32,9.3,3162,1,1,505,117,1940,8,145.0149,Eastern,5051
3,h,1200000,1,260,9.3,3162,2,2,494,135,1920,8,145.0322,Eastern,5051
2,h,1001000,1,23,9.3,3162,2,1,255,85,1890,8,145.0207,Eastern,5051
3,h,1330000,1,82,9.3,3162,1,1,312,123,1926,8,145.0196,Eastern,5051
4,h,1570000,1,260,9.3,3162,2,2,641,215,1970,8,145.035,Eastern,5051
4,h,1916000,1,23,9.3,3162,2,2,630,205,1910,8,145.0145,Eastern,5051
4,h,890000,4,188,13.6,3148,3,2,288,158,2014,20,145.1051,Eastern,3582
3,p,700000,1,18,13.6,3148,2,1,224,94,2006,20,145.1054,Eastern,3582
3,r,865000,1,32,13.6,3148,2,2,277,143,2010,20,145.1044,Eastern,3582
4,r,1042500,1,32,13.6,3148,3,2,209,160,2016,20,145.105,Eastern,3582
2,h,1002000,1,196,13.6,3148,1,1,585,97,1950,20,145.0948,Eastern,3582
3,h,650000,0,260,13.6,3148,2,2,160,101,2000,20,145.0934,Eastern,3582
4,r,965000,3,32,13.6,3148,3,2,273,182,2012,20,145.105,Eastern,3582
3,h,1301000,1,32,13.6,3148,1,2,620,88,1970,20,145.105,Eastern,3582
4,h,1415500,1,260,13.6,3148,2,1,1033,164,1950,20,145.1095,Eastern,3582
4,h,1260000,1,140,13.6,3148,2,2,500,277,2001,20,145.1027,Eastern,3582
3,h,1000000,3,227,13.6,3148,1,2,630,105,1960,20,145.102,Eastern,3582
3,r,845000,1,32,13.6,3148,2,1,177,111,2012,20,145.1042,Eastern,3582
4,r,881000,1,196,13.6,3148,2,1,188,137,2014,20,145.0955,Eastern,3582
2,h,780000,1,91,3.4,3068,1,1,155,85,1880,31,144.9922,Eastern,2954
3,h,1060000,1,155,3.4,3068,1,0,193,98,1900,31,144.9984,Eastern,2954
3,r,930000,1,49,3.4,3068,2,1,124,116,2000,31,144.9923,Eastern,2954
2,h,1075000,1,155,3.4,3068,1,1,174,85,1890,31,144.9987,Eastern,2954
2,h,1105000,1,91,3.4,3068,1,1,185,84,1910,31,144.9981,Eastern,2954
2,h,1209000,1,106,3.4,3068,1,1,140,97,1910,31,144.9884,Eastern,2954
4,h,3010000,1,49,3.4,3068,3,2,382,250,1903,31,144.9992,Eastern,2954
2,h,1435000,1,155,3.4,3068,1,2,239,96,1900,31,144.997,Eastern,2954
2,h,1290000,1,106,3.4,3068,1,0,164,99,1890,31,144.9967,Eastern,2954
2,p,495000,1,267,3.4,3068,1,1,515,50,1970,31,145.0049,Eastern,2954
3,h,1370000,1,49,3.4,3068,2,1,176,135,1890,31,144.9898,Eastern,2954
2,h,1450000,4,155,3.4,3068,1,0,156,107,1890,31,144.9999,Eastern,2954
2,p,885500,1,49,3.4,3068,2,2,0,136,2005,31,144.9983,Eastern,2954
3,r,825000,3,106,3.4,3068,3,1,67,119,2010,31,144.9989,Eastern,2954
4,h,1506000,1,155,3.4,3068,2,0,162,169,1995,31,144.9994,Eastern,2954
3,h,1360000,1,155,3.4,3068,1,0,118,118,1880,31,144.9858,Eastern,2954
2,h,850000,3,28,7.8,3058,1,1,371,93,1930,23,144.9589,Eastern,11204
3,h,784000,1,155,7.8,3058,1,1,286,110,1890,23,144.952,Eastern,11204
3,h,680000,1,155,7.8,3058,1,0,702,108,1950,23,144.9812,Eastern,11204
2,r,807000,1,155,7.8,3058,2,1,0,176,2010,23,144.9713,Eastern,11204
3,h,675000,0,243,7.8,3058,1,2,142,123,2005,23,144.973,Eastern,11204
3,h,1202000,1,155,7.8,3058,2,2,423,140,1940,23,144.9559,Eastern,11204
3,h,1370000,1,196,7.8,3058,1,1,233,180,1890,23,144.9611,Eastern,11204
3,h,1000000,4,106,7.8,3058,2,3,370,110,1920,23,144.9501,Eastern,11204
4,h,145000,0,106,7.8,3058,1,1,536,164,1910,23,144.9658,Eastern,11204
3,h,860000,1,178,7.8,3058,1,1,283,109,1915,23,144.9582,Eastern,11204
2,h,953000,1,106,7.8,3058,1,1,170,101,1890,23,144.9608,Eastern,11204
2,h,735000,3,155,7.8,3058,1,1,280,93,1900,23,144.952,Eastern,11204
3,h,947000,1,28,7.8,3058,1,1,372,125,1920,23,144.9581,Eastern,11204
2,p,500000,3,106,7.8,3058,1,1,0,74,1970,23,144.9644,Eastern,11204
2,p,466000,1,155,7.8,3058,1,1,0,62,1980,23,144.9522,Eastern,11204
3,r,740000,4,155,7.8,3058,2,1,255,164,2014,23,144.9713,Eastern,11204
3,h,812000,1,159,7.8,3058,1,1,370,130,1930,23,144.9718,Eastern,11204
3,h,766000,1,159,7.8,3058,1,0,378,124,1930,23,144.9716,Eastern,11204
3,h,825000,1,159,7.8,3058,1,1,374,118,1910,23,144.9715,Eastern,11204
4,h,1131000,1,155,7.8,3058,2,2,494,300,2001,23,144.9711,Eastern,11204
3,h,1064000,3,155,7.8,3058,2,1,417,178,1940,23,144.9583,Eastern,11204
3,h,1210000,1,155,7.8,3058,1,1,379,125,1925,23,144.9764,Eastern,11204
2,p,434000,1,155,7.8,3058,1,1,0,80,1965,23,144.9644,Eastern,11204
2,p,653000,3,178,7.8,3058,1,1,129,107,2012,23,144.9606,Eastern,11204
3,r,640000,1,155,7.8,3058,1,2,119,109,1995,23,144.9491,Eastern,11204
3,h,1130000,3,197,7.8,3058,1,2,735,127,1920,23,144.9623,Eastern,11204
3,h,763000,1,255,7.8,3058,2,1,107,110,1994,23,144.963,Eastern,11204
2,h,903000,1,155,7.8,3058,1,1,253,94,1910,23,144.9521,Eastern,11204
3,h,1000000,1,155,7.8,3058,1,1,431,117,1970,23,144.9695,Eastern,11204
4,h,1742000,3,155,7.8,3058,2,4,482,256,2006,23,144.9534,Eastern,11204
4,h,865000,1,28,7.8,3058,1,1,452,125,1925,23,144.948,Eastern,11204
2,p,485000,4,155,7.8,3058,2,1,0,96,1880,23,144.9701,Eastern,11204
3,h,1278000,1,178,7.8,3058,2,3,405,156,1930,23,144.959,Eastern,11204
3,r,590000,4,196,7.8,3058,2,2,0,109,2013,23,144.9751,Eastern,11204
4,h,1136000,1,196,7.8,3058,3,1,420,146,1920,23,144.962,Eastern,11204
2,r,635000,1,196,7.8,3058,1,1,97,95,2014,23,144.9623,Eastern,11204
4,h,1400000,1,190,7.8,3058,1,1,856,189,1970,23,144.9481,Eastern,11204
3,h,1260000,1,106,7.8,3058,2,0,407,230,1930,23,144.9579,Eastern,11204
3,h,841000,1,197,7.8,3058,1,3,385,98,1920,23,144.9603,Eastern,11204
2,p,537500,1,155,7.8,3058,1,1,0,73,1975,23,144.9563,Eastern,11204
2,r,598000,1,155,7.8,3058,1,1,108,100,2007,23,144.9617,Eastern,11204
3,h,1120000,1,194,7.8,3058,2,1,293,180,2006,23,144.9663,Eastern,11204
3,h,870000,1,155,7.8,3058,1,1,371,100,1980,23,144.9558,Eastern,11204
3,h,680000,0,194,7.8,3058,1,2,462,72,1920,23,144.9478,Eastern,11204
3,h,825000,1,196,7.8,3058,1,2,577,131,1920,23,144.9773,Eastern,11204
3,h,725000,1,28,7.8,3058,1,0,238,131,1900,23,144.9612,Eastern,11204
4,h,1250000,4,155,7.8,3058,3,1,515,249,1900,23,144.9766,Eastern,11204
2,h,1008000,1,106,7.8,3058,1,3,457,89,1940,23,144.9725,Eastern,11204
4,h,990000,3,84,7.8,3058,1,1,488,142,1930,23,144.9532,Eastern,11204
2,p,451000,1,192,7.8,3058,1,1,0,72,1970,23,144.954,Eastern,11204
2,h,635000,1,28,7.8,3058,2,3,339,149,1920,23,144.9559,Eastern,11204
5,h,1020000,0,194,7.8,3058,2,4,381,286,1985,23,144.969,Eastern,11204
3,h,1025000,4,106,7.8,3058,1,3,336,112,1950,23,144.9558,Eastern,11204
3,h,700000,3,28,7.8,3058,1,1,138,102,2000,23,144.9555,Eastern,11204
3,h,1130000,1,155,7.8,3058,1,3,206,80,1945,23,144.9563,Eastern,11204
4,h,1075000,1,94,7.8,3058,1,4,531,187,1925,23,144.9528,Eastern,11204
3,r,600000,1,28,7.8,3058,1,1,102,95,1976,23,144.9665,Eastern,11204
4,h,1150000,0,178,7.8,3058,2,2,43,205,1930,23,144.9469,Eastern,11204
2,p,515000,1,196,7.8,3058,1,2,0,70,1970,23,144.9608,Eastern,11204
2,h,472000,1,155,7.8,3058,1,1,500,69,1975,23,144.9515,Eastern,11204
2,h,901000,1,178,7.8,3058,1,1,545,107,1940,23,144.9471,Eastern,11204
2,h,605000,1,106,7.8,3058,1,1,0,13,1969,23,144.9721,Eastern,11204
3,r,687000,1,155,7.8,3058,1,1,116,140,1995,23,144.9487,Eastern,11204
4,h,975000,0,197,7.8,3058,2,2,307,203,1996,23,144.9602,Eastern,11204
3,h,1370000,1,155,7.8,3058,1,1,563,130,1930,23,144.978,Eastern,11204
2,h,700000,4,155,7.8,3058,1,2,381,92,1925,23,144.9516,Eastern,11204
3,r,810000,1,155,7.8,3058,2,1,213,131,2010,23,144.9584,Eastern,11204
4,h,838000,1,106,7.8,3058,1,1,576,147,1960,23,144.9637,Eastern,11204
4,h,1150000,0,155,7.8,3058,1,2,633,164,1990,23,144.9504,Eastern,11204
4,h,931000,3,28,7.8,3058,1,1,412,160,1920,23,144.9768,Eastern,11204
